,Area,Size,Rent,Manhattan,Queens,Brooklyn,Bronx,Staten Island,Studio,One Bedroom,Two Bedrooms,Three Bedrooms,One Bathrooms,Two Bathrooms,Three Bathrooms,Four Bathrooms
326,101,950,2200,0,1,0,0,0,0,0,1,0,0,0,0,0
327,102,1124,2150,0,1,0,0,0,0,0,1,0,0,0,0,0
328,34,1000,2300,0,1,0,0,0,0,0,1,0,0,0,0,0
329,33,1050,2300,0,1,0,0,0,0,0,1,0,0,0,0,0
330,32,899,2200,0,1,0,0,0,0,0,1,0,0,0,0,0
331,103,1024,2150,0,1,0,0,0,0,0,1,0,0,0,0,0
332,53,899,2520,0,0,1,0,0,0,0,1,0,0,0,0,0
333,54,875,1899,0,0,1,0,0,0,0,1,0,0,0,0,0
334,55,1112,3900,0,0,1,0,0,0,0,1,0,0,0,0,0
335,106,850,1800,0,0,1,0,0,0,0,1,0,0,0,0,0
336,111,925,2395,0,0,1,0,0,0,0,1,0,0,0,0,0
337,107,950,2472,0,0,1,0,0,0,0,1,0,0,0,0,0
338,82,1012,2600,0,0,1,0,0,0,0,1,0,0,0,0,0
339,83,1120,4699,0,0,1,0,0,0,0,1,0,0,0,0,0
340,108,850,1825,0,0,1,0,0,0,0,1,0,0,0,0,0
341,84,925,2449,0,0,1,0,0,0,0,1,0,0,0,0,0
342,136,875,1899,0,0,1,0,0,0,0,1,0,0,0,0,0
343,85,925,3399,0,0,1,0,0,0,0,1,0,0,0,0,0
344,74,934,3200,0,0,1,0,0,0,0,1,0,0,0,0,0
345,75,944,3800,0,0,1,0,0,0,0,1,0,0,0,0,0
346,137,968,2999,0,0,1,0,0,0,0,1,0,0,0,0,0
347,76,975,2449,0,0,1,0,0,0,0,1,0,0,0,0,0
348,77,1200,5382,0,0,1,0,0,0,0,1,0,0,0,0,0
349,78,1012,2299,0,0,1,0,0,0,0,1,0,0,0,0,0
350,79,1150,4540,0,0,1,0,0,0,0,1,0,0,0,0,0
351,112,950,1925,0,0,1,0,0,0,0,1,0,0,0,0,0
352,80,1012,2475,0,0,1,0,0,0,0,1,0,0,0,0,0
353,81,950,2150,0,0,1,0,0,0,0,1,0,0,0,0,0
354,113,920,1957,0,0,1,0,0,0,0,1,0,0,0,0,0
355,70,1075,3400,0,0,1,0,0,0,0,1,0,0,0,0,0
356,73,925,2200,0,0,1,0,0,0,0,1,0,0,0,0,0
357,71,1012,2825,0,0,1,0,0,0,0,1,0,0,0,0,0
358,67,975,1995,0,0,1,0,0,0,0,1,0,0,0,0,0
359,68,1090,2950,0,0,1,0,0,0,0,1,0,0,0,0,0
360,69,1000,2477,0,0,1,0,0,0,0,1,0,0,0,0,0
361,86,875,1850,0,0,0,1,0,0,0,1,0,0,0,0,0
362,66,912,2000,0,0,1,0,0,0,0,1,0,0,0,0,0
363,65,1025,3000,0,0,1,0,0,0,0,1,0,0,0,0,0
364,63,1112,3505,0,0,1,0,0,0,0,1,0,0,0,0,0
365,114,999,2197,0,0,1,0,0,0,0,1,0,0,0,0,0
366,58,1099,3200,0,0,1,0,0,0,0,1,0,0,0,0,0
367,59,1114,3300,0,0,1,0,0,0,0,1,0,0,0,0,0
368,60,925,2426,0,0,1,0,0,0,0,1,0,0,0,0,0
369,61,975,2910,0,0,1,0,0,0,0,1,0,0,0,0,0
370,62,925,2337,0,0,1,0,0,0,0,1,0,0,0,0,0
371,51,910,1997,0,0,1,0,0,0,0,1,0,0,0,0,0
372,57,1012,2700,0,0,1,0,0,0,0,1,0,0,0,0,0
373,56,950,2150,0,0,1,0,0,0,0,1,0,0,0,0,0
374,64,950,2195,0,0,1,0,0,0,0,1,0,0,0,0,0
375,105,924,1800,0,0,1,0,0,0,0,1,0,0,0,0,0
376,52,975,2200,0,0,1,0,0,0,0,1,0,0,0,0,0
377,72,970,2300,0,0,1,0,0,0,0,1,0,0,0,0,0
378,49,1060,3000,0,0,1,0,0,0,0,1,0,0,0,0,0
379,50,1002,2899,0,0,1,0,0,0,0,1,0,0,0,0,0
380,124,960,1950,0,0,0,1,0,0,0,1,0,0,0,0,0
381,124,960,1950,0,0,0,1,0,0,0,1,0,0,0,0,0
382,124,960,1950,0,0,0,1,0,0,0,1,0,0,0,0,0
383,124,960,1950,0,0,0,1,0,0,0,1,0,0,0,0,0
