Borough,Area,Bedrooms,Bathrooms,Size,Rent
Staten Island,Dongan Hills,2 Bedroom,2 Bathroom,950,2250
Staten Island,Elm Park,2 Bedroom,2 Bathroom,1000,2350
Staten Island,Graniteville,2 Bedroom,2 Bathroom,940,2400
Staten Island,Fort Wadsworth,2 Bedroom,2 Bathroom,950,2350
Staten Island,Grasmere,2 Bedroom,2 Bathroom,910,2350
Staten Island,Dongan Hills,2 Bedroom,2 Bathroom,920,2250
Staten Island,Elm Park,2 Bedroom,2 Bathroom,950,2350
Staten Island,Graniteville,2 Bedroom,2 Bathroom,922,2400
Staten Island,Fort Wadsworth,2 Bedroom,2 Bathroom,944,2350
Staten Island,Grasmere,2 Bedroom,2 Bathroom,984,2350
Manhattan,Upper Manhattan,3 Bedroom,3 Bathroom,1100,3250
Manhattan,Upper West Side,3 Bedroom,4 Bathroom,1390,7000
Manhattan,Central Harlem,3 Bedroom,2 Bathroom,1150,3700
Manhattan,Chinatown,3 Bedroom,2 Bathroom,1125,4200
Manhattan,East Harlem,3 Bedroom,1 Bathroom,1112,3350
Manhattan,East Village,3 Bedroom,2 Bathroom,1300,5000
Manhattan,Gramercy Park,3 Bedroom,2 Bathroom,1202,5550
Manhattan,Hamilton Heights,3 Bedroom,1 Bathroom,1200,3197
Manhattan,Inwood,3 Bedroom,1 Bathroom,1102,2672
Manhattan,Lower East Side,3 Bedroom,1 Bathroom,1125,4622
Manhattan,Manhattan,3 Bedroom,1 Bathroom,1202,5310
Manhattan,Manhattanville,3 Bedroom,1 Bathroom,1100,3350
Manhattan,Midtown,3 Bedroom,3 Bathroom,1550,8075
Manhattan,Midtown East,3 Bedroom,2 Bathroom,1275,5977
Manhattan,Midtown West,3 Bedroom,1 Bathroom,1225,5500
Manhattan,Morningside Heights,3 Bedroom,1 Bathroom,1100,3666
Manhattan,Midtown,3 Bedroom,1 Bathroom,1150,3400
